Nº de Encuesta	Fecha de la  Aplicación de la Encuesta	Hora Inicio	"Condición del Encuestado Usuario (1)
Acompañante (2)"	Edad en años	Sexo M(1) F(2)	Nivel de Estudio Analfabeto (1) Primaria (2) Secundaria(3) Superior Tecnico(4) Superior Universitario (5)	"¿Tipo de seguro por el cual se atiende? 
SIS (1)
SOAT (2),
Ninguno (3)
Otro (4)"	"Tipo de paciente
 Nuevo (1),
Continuador (2)"	Especialidad donde fue atendido	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E20	E21	E22	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	Hora Final	Encuestadora	Duracion									
43	2019/10/09	11:02	2	45	2	3	1	2	CM-MA	7	7	7	7	6	6	6	6	6	7	7	7	7	7	7	7	7	7	6	7	7	7	6	7	7	7	6	5	99	99	5	7	6	7	6	6	7	7	6	6	7	6	6	6	11:13	RLN	00:11									
44	2019/10/09	10:47	2	28	2	4	1	2	CC-OF	6	6	6	6	7	7	7	7	7	7	7	7	7	6	7	7	6	6	6	6	6	6	6	5	5	5	3	5	99	99	5	6	6	6	6	6	6	6	6	5	5	4	6	6	10:58	RLN	00:11									
45	2019/10/09	10:35	2	39	2	3	1	2	CC-TR	6	6	6	7	6	6	6	6	6	6	7	7	6	6	6	6	6	6	6	6	6	6	5	5	7	7	3	4	7	6	99	6	6	6	6	6	6	6	6	6	6	5	6	5	10:46	RLN	00:11									
46	2019/10/10	10:04	2	30	2	5	1	2	CM-DE	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	5	7	4	7	4	99	99	99	6	7	7	7	5	7	7	7	7	7	6	7	6	10:15	SNR	00:11									
47	2019/10/10	10:18	2	39	2	3	3	2	CC-GN	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	7	7	7	7	7	7	7	6	7	6	6	6	6	7	10:30	SNR	00:12									
48	2019/10/10	10:32	2	39	1	5	3	1	CC-GN	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	5	6	6	6	6	6	99	99	6	4	5	5	6	5	6	5	5	3	3	4	4	10:44	SNR	00:12									
49	2019/10/10	10:47	2	26	2	5	1	2	CM-NM	6	6	7	7	6	6	6	7	7	7	6	6	7	7	6	6	6	7	7	6	6	4	6	4	7	5	6	3	3	3	5	6	2	4	5	6	5	5	5	4	4	6	6	6	10:59	SNR	00:12									
50	2019/10/10	11:04	2	29	2	3	1	2	CC-CP	5	5	6	5	5	4	4	4	4	5	5	4	4	4	5	4	5	5	3	4	5	4	4	7	7	5	7	4	7	5	99	6	7	7	6	6	7	7	7	7	7	7	7	7	11:17	SNR	00:13									
51	2019/10/10	11:21	2	30	2	5	3	2	CC-OF	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	6	6	6	4	6	6	99	99	6	6	7	6	4	6	6	6	6	5	6	5	7	11:32	SNR	00:11									
52	2019/10/10	11:34	2	41	2	5	3	1	CC-OF	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	1	1	4	1	6	99	99	99	1	1	4	5	1	4	1	1	1	6	1	4	2	11:46	SNR	00:12									
53	2019/10/10	11:49	2	34	2	4	3	2	CM-P1C	6	7	5	5	6	4	5	5	5	4	4	4	5	5	7	6	6	6	5	5	5	5	7	5	6	3	3	4	99	99	99	7	7	7	7	5	7	7	7	7	7	7	7	7	12:01	SNR	00:12									
54	2019/10/10	10:18	2	49	2	3	3	2	CM-GT	7	6	6	7	7	7	7	6	6	6	7	7	7	7	7	7	7	7	7	6	6	6	7	6	7	7	6	6	5	4	4	6	5	6	6	6	6	6	5	5	5	5	6	6	10:30	LCG	00:12									
55	2019/10/10	11:13	2	45	2	3	3	2	CM-P2D	7	7	7	7	7	7	7	7	7	7	7	6	6	6	7	6	6	6	6	6	6	6	2	2	2	2	1	7	99	99	6	7	7	7	7	7	6	7	7	6	4	1	5	4	11:25	LCG	00:12									
56	2019/10/10	10:05	2	49	2	4	3	2	CM-P2D	7	7	7	7	7	7	7	7	6	7	7	6	7	7	7	7	7	7	6	6	6	6	5	5	7	7	3	6	6	3	5	6	4	2	3	1	1	1	1	3	2	4	6	4	10:17	LCG	00:12									
57	2019/10/10	10:57	2	42	2	5	1	2	CC-CG	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	6	6	6	6	7	6	7	7	6	2	2	5	99	7	6	6	6	6	6	6	99	6	3	2	6	4	11:10	LCG	00:13									
58	2019/10/10	11:26	2	22	2	5	1	2	CC-OF	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	6	6	6	6	3	3	3	3	6	99	99	6	6	6	6	6	6	6	6	6	5	5	2	6	6	11:38	LCG	00:12									
59	2019/10/10	10:32	2	40	2	5	3	2	CC-UR	7	5	7	7	7	7	7	7	7	6	6	6	6	7	7	7	7	7	7	6	6	6	6	5	7	6	6	6	99	99	99	7	7	7	7	7	7	7	7	6	7	7	7	4	10:42	LCG	00:10									
60	2019/10/10	10:43	2	23	2	3	1	1	CC-UR	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	6	6	6	6	6	7	6	7	6	6	4	6	99	1	6	3	6	6	4	4	6	6	6	6	2	6	4	10:55	LCG	00:12									
61	2019/10/10	09:10	2	32	2	3	1	2	CM-GT	7	7	7	7	7	7	7	6	6	6	7	7	7	7	7	7	7	7	7	6	6	6	7	6	7	7	6	6	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	09:21	RLN	00:11									
62	2019/10/10	09:25	2	43	2	3	1	2	CM-DE	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	5	7	5	7	5	7	99	6	7	7	7	6	5	6	6	6	6	5	6	6	7	09:35	RLN	00:10									
63	2019/10/10	11:22	2	34	2	5	3	2	CM-P2B	6	6	6	6	6	6	6	6	5	6	6	5	6	6	6	6	6	6	5	5	5	5	5	5	5	5	4	6	99	99	6	6	6	6	6	6	6	5	6	6	5	4	5	5	11:33	RLN	00:11									
64	2019/10/10	10:12	2	40	2	4	3	2	CC-OT	6	6	6	6	6	6	5	5	6	6	6	6	6	6	6	6	6	6	5	5	6	5	5	6	6	5	6	5	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	5	10:24	RLN	00:12									
65	2019/10/10	10:26	2	36	2	3	3	2	CC-CG	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	6	6	6	5	5	5	6	7	6	6	6	6	6	6	5	5	5	5	6	6	10:37	RLN	00:11									
66	2019/10/10	10:40	2	28	2	3	1	2	CM-UCA	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	5	5	6	6	99	6	6	6	6	6	6	6	6	6	6	5	5	6	6	10:51	RLN	00:11									
67	2019/10/10	10:55	2	25	2	3	1	2	CM-P1C	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	7	7	5	6	6	5	6	7	5	4	5	4	4	4	4	5	4	5	6	5	11:06	RLN	00:11									
